project_id,project_name,voluntary_registry,voluntary_status,reduction_removal,project_type_from_the_registry,region,country,state,project_site_location,project_developer,arborwaproject,arb_project_type,version_string,arb_harmonized_methodology,car_harmonized_methodology,methodology_protocol,harmonized_methodology_protocol,fully_harmonized_methodology_protocol,rule_based_type_mapping_list,rule_based_type_mapping_first,vrod_v11_type
VCS4082,Canindé Grouped REDD+ Project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0007;VM0015,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4083,Shanxi Jingle Afforestation Project,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4086,Suihuang Adjusted Water Management in Rice Cultivation,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS4088,Adjusted Water Management in Rice Cultivation in the East of Leizhou,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS4089,Uirapuru Grouped REDD Project,VCS,Withdrawn,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0007;VM0015,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4090,Goldbeck Forest Carbon Project,VCS,Registration and verification approval requested,,Agriculture Forestry and Other Land Use,North America,United States,,,,No,,,,,VM0003,VM0003 Methodology for Improved Forest Management through Extension of Rotation Age,VM0003 Methodology for Improved Forest Management through Extension of Rotation Age,"[(85, 'Improved Forest Management')]",Improved Forest Management,Improved Forest Management
VCS4084,Arataú REDD Project,VCS,Withdrawn,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4072,Fazenda Boa Vista afforestation project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4073,Inner Mongolia Genhe Improved Forest Management Project,VCS,Registration request denied,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,VM0010,VM0010 Methodology for Improved Forest Management: Conversion from Logged to Protected Forest,VM0010 Methodology for Improved Forest Management: Conversion from Logged to Protected Forest,"[(83, 'Improved Forest Management')]",Improved Forest Management,Improved Forest Management
VCS4074,Citizen:Forest Carbon Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4075,KSM Forest Carbon Project,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4076,Miramichi Timber Forest Carbon Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4077,Deeg Forest Carbon Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4078,Acadian Forest Carbon Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4079,Lamaja Forest Carbon Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,Canada,,,,No,,,,,VM0034,VM0034 Canadian Forest Carbon Offset Methodology,VM0034 Canadian Forest Carbon Offset Methodology,[],,Improved Forest Management
VCS4070,Guangdong Xinsheng E-waste recovery and recycling project,VCS,Registered,,Waste handling and disposal,Asia,China,,,,No,,,,,AMS-III.BA,AMS-III.BA. Recovery and recycling of materials from E-waste,AMS-III.BA. Recovery and recycling of materials from E-waste,[],,Waste Recycling
VCS4071,Bundled Rooftop Solar Power Project by SPPL 01,VCS,Registration requested,,Energy industries (renewable/non-renewable sources),Asia,India,,,,No,,,,,AMS-I.F.,AMS-I.F. Renewable electricity generation for captive use and mini-grid,AMS-I.F. Renewable electricity generation for captive use and mini-grid,[],,Solar - Distributed
VCS4065,Heilongjiang Nehe Improved Agricultural Land Management Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
VCS4068,Amazon Bluecarbon Grouped REDD Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4069,Mamuriá Grouped REDD Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0007;VM0015,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,VM0007 REDD+ Methodology Framework (REDD-MF);VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4063,VCS PROJECT FOR FARMERS ADOPTING ALTERNATE WETTING AND DRYING (AWD) METHOD FOR RICE CULTIVATION IN MADHYA  PRADESH,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS4057,Guangzhou Xingfeng landfill gas to LNG Project,VCS,Registration requested,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Asia,China,,,,No,,,,,ACM0001,ACM0001 Flaring or use of landfill gas,ACM0001 Flaring or use of landfill gas,"[(160, 'Landfill Methane')]",Landfill Methane,Landfill Methane
VCS4058,Improved Cookstove Distribution in Malawi by EKI Phase 01,VCS,Registration requested,,Energy demand,Africa,Malawi,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4059,Improved Cookstove Distribution in Kenya by EKI Phase 01,VCS,Registration requested,,Energy demand,Africa,Kenya,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4060,Improved Cookstove Distribution in Kenya by EKI Phase 0 2,VCS,Under validation,,Energy demand,Africa,Kenya,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4061,THE LANDS OF WHEAT,VCS,Under validation,,Agriculture Forestry and Other Land Use,Europe,Italy,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
VCS4053,D.Light's Improved Cooking Project In Africa,VCS,Under validation,,Energy demand,Africa,Kenya,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4051,Adjusted Water Management in Rice Cultivation in Xuwen County,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS4052,MITIGATING CLIMATE CHANGE AND ENHANCING RURAL LIVELIHOODS THROUGH PLANTATIONS RAISED TO PROVIDE RAW MATERIAL TO THE PAPER INDUSTRY,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4049,"Shangqiu Weijie Agricultural Development Co., Ltd Manure Management System GHG Mitigation Project",VCS,Under validation,,"Livestock, enteric fermentation, and manure management",Asia,China,,,,No,,,,,ACM0010,"ACM0010 GHG emission reductions from manure management systems
","ACM0010 GHG emission reductions from manure management systems
",[],,Manure Methane Digester
VCS4050,Jiangxi Zhenghe Livestock Manure Treatment Project,VCS,Registration and verification approval requested,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Asia,China,,,,No,,,,,AM0073,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,AM0073 GHG emission reductions through multi-site manure collection and treatment in a central plant,[],,Manure Methane Digester
VCS4047,CLIMATE SUSTAINABILITY THROUGH HORTICULTURE PROJECT IN INDIA,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,"[(113, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4048,Smart Cookstove Program by Tata Communications,VCS,Registration requested,,Energy demand,Asia,India,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4043,ENHANCING LIVELIHOOD OF TRIBAL COMMUNITIES THROUGH AGROFORESTRY IN SOUTH INDIA,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4044,IMPROVED COOKSTOVES DISTRIBUTION IN MOZAMBIQUE – SOFALA AND MANICA PROVINCES,VCS,Under validation,,Energy demand,Africa,Mozambique,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS4046,IMPROVING LIVELIHOOD OF FARMERS  VIA CARBON FINANCE PROJECT IN  NEPAL,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,Nepal,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4036,"26MWp Solar Photovoltaic Power Plant in Bavet City, Cambodia",VCS,Registered,,Energy industries (renewable/non-renewable sources),Asia,Cambodia,,,,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,[],,Solar - Centralized
VCS4042,Cauaxi REDD+ Grouped Project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4035,EVI BAMBOO AFFORESTATION PROJECT IN INDIA,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,"[(113, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4034,Agropalma REDD+ Project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0015,VM0015 Methodology for Avoided Unplanned Deforestation,VM0015 Methodology for Avoided Unplanned Deforestation,[],,REDD+
VCS4031,Agroforestry Plantation of ITC Limited In Selected Regions of North India,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,"[(113, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4032,Improved Agricultural Practices for Rice Cultivation in India,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS4030,220MWDC MINBU SOLAR POWER  PLANT PROJECT,VCS,Registration and verification approval requested,,Energy industries (renewable/non-renewable sources),Asia,Myanmar,,,,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,[],,Solar - Centralized
VCS4029,CSG EV Charger Premier Aggregation,VCS,Registration requested,,Energy industries (renewable/non-renewable sources); Transport,North America,United States,,,,No,,,,,VM0038,VM0038 Methodology for Electric Vehicle Charging Systems,VM0038 Methodology for Electric Vehicle Charging Systems,"[(29, 'Electric Vehicles & Charging')]",Electric Vehicles & Charging,Electric Vehicles & Charging
VCS4027,GUAMÁ LANDFILL GAS PROJECT,VCS,Registration requested,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Latin America,Brazil,,,,No,,,,,ACM0001,ACM0001 Flaring or use of landfill gas,ACM0001 Flaring or use of landfill gas,"[(160, 'Landfill Methane')]",Landfill Methane,Landfill Methane
VCS4025,"Strengthening rural livelihoods of smallholder farmers in tribal districts of Odisha,India",VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4026,Angola Caraculo PV Plant,VCS,Under validation,,Energy industries (renewable/non-renewable sources),Africa,Angola,,,,No,,,,,ACM0002,ACM0002 Grid-connected electricity generation from renewable sources,ACM0002 Grid-connected electricity generation from renewable sources,[],,Solar - Centralized
VCS4021,Sustainable Agriculture Project by Arvind in India,VCS,On Hold - see notification letter,,Agriculture Forestry and Other Land Use,Asia,India,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
VCS4022,AgreenaCarbon Project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Europe,Denmark,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
VCS4018,CO2 UTILIZATION IN CONCRETE - Removals & Reductions - CarbonCure - U.S & Canada. Project #1,VCS,Under validation,,Construction; Manufacturing industries,North America,United States,,,,No,,,,,VM0043,VM0043 Methodology for CO2 Utilization in Concrete Production,VM0043 Methodology for CO2 Utilization in Concrete Production,[],,Carbon Capture in Concrete
VCS4019,"CO2 UTILIZATION IN CONCRETE - REMOVALS & REDUCTIONS – CarbonCure – Australia, Taiwan, Hong Kong, Japan, South Korea, Philippines, Singapore, Malaysia, Japan and Thailand PROJECT #1",VCS,Under validation,,Construction; Manufacturing industries,Asia,Singapore,,,,No,,,,,VM0043,VM0043 Methodology for CO2 Utilization in Concrete Production,VM0043 Methodology for CO2 Utilization in Concrete Production,[],,Carbon Capture in Concrete
VCS4016,Amazon Biome Conservancy Grouped REDD+ Project,VCS,Registration requested,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,VM0007,VM0007 REDD+ Methodology Framework (REDD-MF),VM0007 REDD+ Methodology Framework (REDD-MF),[],,REDD+
VCS4015,Sanergy Composting Group Project,VCS,Registration and verification approval requested,,Waste handling and disposal,Africa,Kenya,,,,No,,,,,ACM0022,ACM0022 Alternative waste treatment processes,ACM0022 Alternative waste treatment processes,[],,Composting
VCS4014,Sinop Landfill Gas to Electricity Project,VCS,Registration and verification approval requested,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Middle East,Turkey,,,,No,,,,,AMS-I.D.;AMS-III.G.,AMS-I.D. Grid connected renewable electricity generation;AMS-III.G. Landfill methane recovery,AMS-I.D. Grid connected renewable electricity generation;AMS-III.G. Landfill methane recovery,"[(173, 'Landfill Methane')]",Landfill Methane,Landfill Methane
VCS4010,Installation of Solar Water Pump,VCS,Under validation,,Energy demand; Energy industries (renewable/non-renewable sources),Asia,India,,,,No,,,,,AMS-I.B.,AMS-I.B. Mechanical energy for the user with or without electrical energy,AMS-I.B. Mechanical energy for the user with or without electrical energy,[],,Improved Irrigation Management
VCS4011,Qinghai Taiheyuan Swine Farm Manure Management System GHG Mitigation Project,VCS,Registered,,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",Asia,China,,,,No,,,,,ACM0010,"ACM0010 GHG emission reductions from manure management systems
","ACM0010 GHG emission reductions from manure management systems
",[],,Manure Methane Digester
VCS4012,8 MW NongKhai Waste to Energy Project in Thailand,VCS,Under validation,,Waste handling and disposal,Asia,Thailand,,,,No,,,,,AMS-I.D.;AMS-III.E.,"AMS-I.D. Grid connected renewable electricity generation;AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/ thermal treatment","AMS-I.D. Grid connected renewable electricity generation;AMS-III.E. Avoidance of methane production from decay of biomass through controlled combustion, gasification or mechanical/ thermal treatment",[],,Biomass
VCS4005,Macaúba as a Productive Second Floor,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,Latin America,Brazil,,,,No,,,,,AR-AMS0007,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,AR-AMS0007 Afforestation and reforestation project activities implemented on lands other than wetlands,"[(113, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4008,Terraligna Afforestation Over Degraded Grasslands,VCS,Under validation,,Agriculture Forestry and Other Land Use,Latin America,Uruguay,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4004,The Native Ecosystem Restoration in Nicaragua Project,VCS,Registration request denied,,Agriculture Forestry and Other Land Use,Latin America,Nicaragua,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4003,Bundled Solar Power Project by AMP Energy - 01,VCS,Registered,,Energy industries (renewable/non-renewable sources),Asia,India,,,,No,,,,,AMS-I.F.,AMS-I.F. Renewable electricity generation for captive use and mini-grid,AMS-I.F. Renewable electricity generation for captive use and mini-grid,[],,Solar - Centralized
VCS3997,Avcıkoru Landfill Gas to Electricity Project,VCS,Registration and verification approval requested,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Europe,Turkey,,,,No,,,,,ACM0001,ACM0001 Flaring or use of landfill gas,ACM0001 Flaring or use of landfill gas,"[(160, 'Landfill Methane')]",Landfill Methane,Landfill Methane
VCS3998,Agroforestry For Livelihoods Project,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,Africa,Rwanda,,,,No,,,,,Methodology Under Development,Methodology Under Development,Methodology Under Development,[],,Afforestation/Reforestation
VCS3999,Zambia Agroforestry Grouped Project,VCS,Under development,,Agriculture Forestry and Other Land Use,Africa,Zambia,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS4000,DelAgua Clean Cooking Grouped Project in The Gambia,VCS,Under validation,,Energy demand,Africa,Gambia,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS3994,Hubei Jinnonggu AWMS GHG Mitigation Project,VCS,Under validation,,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Asia,China,,,,No,,,,,ACM0010,"ACM0010 GHG emission reductions from manure management systems
","ACM0010 GHG emission reductions from manure management systems
",[],,Manure Methane Digester
VCS3996,Family Forest Carbon Program - Central Appalachia,VCS,Under validation,,Agriculture Forestry and Other Land Use,North America,United States,,,,No,,,,,VM0045,VM0045 Improved Forest Management Methodology Using Dynamic Matched Baselines from National Forest Inventories,VM0045 Improved Forest Management Methodology Using Dynamic Matched Baselines from National Forest Inventories,[],,Improved Forest Management
VCS3990,Inner Mongolia Yitulihe-Genhe Afforestation Project,VCS,Under validation,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AR-ACM0003,AR-ACM0003 Afforestation and reforestation of lands except wetlands,AR-ACM0003 Afforestation and reforestation of lands except wetlands,"[(101, 'Afforestation/Reforestation')]",Afforestation/Reforestation,Afforestation/Reforestation
VCS3991,Sichuan Huashun PET Recycling Project,VCS,Registration requested,,Waste handling and disposal,Asia,China,,,,No,,,,,AMS-III.AJ.,AMS-III.AJ. Recovery and recycling of materials from solid wastes,AMS-III.AJ. Recovery and recycling of materials from solid wastes,"[(170, 'Waste Recycling')]",Waste Recycling,Waste Recycling
VCS3992,MEM OSB-1 SOLAR POWER PROJECT,VCS,Under validation,,Energy industries (renewable/non-renewable sources),Middle East,Turkey,,,,No,,,,,AMS-I.F.,AMS-I.F. Renewable electricity generation for captive use and mini-grid,AMS-I.F. Renewable electricity generation for captive use and mini-grid,[],,Solar - Centralized
VCS3993,CARBON GROUP PROGRAM FOR SUSTAINABLE LOW CARBON CROP AND GRASSLAND MANAGEMENT IN ARGENTINA,VCS,Rejected by Administrator,,Agriculture Forestry and Other Land Use,Latin America,Argentina,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
VCS3988,MILOPRI PROJECT - PRECISION MANAGEMENT SYSTEMS FOR SUSTAINABLE ORCHARDS,VCS,Under validation,,Agriculture Forestry and Other Land Use,Middle East,Israel,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Grassland Management
VCS3980,Xinjiang Muge Swine Farm Manure Management System GHG Mitigation Project,VCS,Registration requested,,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",Asia,China,,,,No,,,,,ACM0010,"ACM0010 GHG emission reductions from manure management systems
","ACM0010 GHG emission reductions from manure management systems
",[],,Manure Methane Digester
VCS3981,Qinghai Muge Swine Farm Manure Management System GHG Mitigation Project,VCS,Registration requested,,"Livestock, enteric fermentation, and manure management; Waste handling and disposal",Asia,China,,,,No,,,,,ACM0010,"ACM0010 GHG emission reductions from manure management systems
","ACM0010 GHG emission reductions from manure management systems
",[],,Manure Methane Digester
VCS3983,Improved Cookstove Distribution in Ghana by EKI Phase-II,VCS,Under validation,,Energy demand,Africa,Ghana,,,,No,,,,,VMR0006,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,VMR0006 Energy Efficiency and Fuel Switch Measures in Thermal Applications,[],,Cookstoves
VCS3984,"Leyuan ANIMAL Husbandry Weixian Co., Ltd. NO. 4 Pasture Wastes Recycling Project",VCS,Registered,,Energy industries (renewable/non-renewable sources); Waste handling and disposal,Asia,China,,,,No,,,,,AMS-I.D.;AMS-III.D.,AMS-I.D. Grid connected renewable electricity generation;AMS-III.D. Methane recovery in animal manure management systems,AMS-I.D. Grid connected renewable electricity generation;AMS-III.D. Methane recovery in animal manure management systems,"[(189, 'Manure Methane Digester')]",Manure Methane Digester,Manure Methane Digester
VCS3985,Grouped Electric bikes project in Africa,VCS,Under validation,,Transport,Africa,Togo,,,,No,,,,,AMS-III.C.,AMS-III.C. Emission reductions by electric and hybrid vehicles,AMS-III.C. Emission reductions by electric and hybrid vehicles,[],,Bicycles
VCS3977,Adjusted Water Management in Rice Cultivation in West of Fuling District in Chongqing City,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS3978,Adjusted Water Management in Rice Cultivation in East of Fuling District in Chongqing City,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS3971,Adjusted Water Management in Rice Cultivation in North Anyi,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS3972,Adjusted Water Management in Rice Cultivation in South Anyi,VCS,Inactive,,Agriculture Forestry and Other Land Use,Asia,China,,,,No,,,,,AMS-III.AU,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,AMS-III.AU. Methane emission reduction by adjusted water management practice in rice cultivation,"[(178, 'Rice Emission Reductions')]",Rice Emission Reductions,Rice Emission Reductions
VCS3973,"involtor Future Agriculture, East-Europe",VCS,Registration and verification approval requested,,Agriculture Forestry and Other Land Use,Europe,Romania,,,,No,,,,,VM0042,VM0042 Methodology for Improved Agricultural Land Management,VM0042 Methodology for Improved Agricultural Land Management,[],,Sustainable Agriculture
